id2,County,Population,log_pop
1129,"Washington County, Alabama",16756,9.726511682066926
1131,"Wilcox County, Alabama",10986,9.304377013902565
1133,"Winston County, Alabama",23805,10.077650921628619
2013,"Aleutians East Borough, Alaska",3296,8.100464891029363
2016,"Aleutians West Census Area, Alaska",5647,8.638879709672837
2020,"Anchorage Municipality, Alaska",298192,12.605492853320447
2050,"Bethel Census Area, Alaska",17968,9.796347676978224
2060,"Bristol Bay Borough, Alaska",898,6.8001700683022
2068,"Denali Borough, Alaska",1953,7.577121930876679
2070,"Dillingham Census Area, Alaska",4954,8.507950610049305
2090,"Fairbanks North Star Borough, Alaska",100605,11.518957237201947
2100,"Haines Borough, Alaska",2496,7.822444729489319
2105,"Hoonah-Angoon Census Area, Alaska",2078,7.639161171659173
2110,"Juneau City and Borough, Alaska",32468,10.388010267881066
2122,"Kenai Peninsula Borough, Alaska",58506,10.976884592063174
2130,"Ketchikan Gateway Borough, Alaska",13746,9.52850315168155
2150,"Kodiak Island Borough, Alaska",13732,9.527484154577582
2158,"Kusilvak Census Area, Alaska",8049,8.993303139093733
2164,"Lake and Peninsula Borough, Alaska",1562,7.3537223303996315
2170,"Matanuska-Susitna Borough, Alaska",104365,11.555649649180006
2180,"Nome Census Area, Alaska",9917,9.202005735186125
2185,"North Slope Borough, Alaska",9606,9.17014318222477
2188,"Northwest Arctic Borough, Alaska",7673,8.945462952177666
2195,"Petersburg Borough, Alaska",3149,8.054840221101024
2198,"Prince of Wales-Hyder Census Area, Alaska",6347,8.75573753930647
2220,"Sitka City and Borough, Alaska",8830,9.085910293598007
2230,"Skagway Municipality, Alaska",1088,6.992096427415888
2240,"Southeast Fairbanks Census Area, Alaska",6876,8.83579236650274
2261,"Valdez-Cordova Census Area, Alaska",9355,9.14366623870819
2275,"Wrangell City and Borough, Alaska",2411,7.787796878181171
2282,"Yakutat City and Borough, Alaska",601,6.398594934535208
2290,"Yukon-Koyukuk Census Area, Alaska",5526,8.617219505483362
4001,"Apache County, Arizona",73112,11.199747790952038
4003,"Cochise County, Arizona",125770,11.742210121041202
4005,"Coconino County, Arizona",140908,11.855862474131605
4007,"Gila County, Arizona",53556,10.88848311441727
4009,"Graham County, Arizona",37599,10.534732733279633
4011,"Greenlee County, Arizona",9613,9.170871628065816
4012,"La Paz County, Arizona",20317,9.919213252997611
4013,"Maricopa County, Arizona",4242997,15.260780417137312
4015,"Mohave County, Arizona",205249,12.231979155195619
4017,"Navajo County, Arizona",110026,11.608471980481433
4019,"Pima County, Arizona",1016206,13.831586642473875
4021,"Pinal County, Arizona",418540,12.94452774379466
4023,"Santa Cruz County, Arizona",45985,10.736070535336799
4025,"Yavapai County, Arizona",225562,12.326350344702167
4027,"Yuma County, Arizona",205631,12.233838579407372
5001,"Arkansas County, Arkansas",18214,9.809945808127765
5003,"Ashley County, Arkansas",20492,9.927789845059094
5005,"Baxter County, Arkansas",41062,10.622838398592709
5007,"Benton County, Arkansas",258291,12.461842135271318
5009,"Boone County, Arkansas",37304,10.526855838488157
5011,"Bradley County, Arkansas",10996,9.305286849285137
5013,"Calhoun County, Arkansas",5144,8.545586265917455
